author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,annotation,
Armando Tinoco,"""Avengers: Endgame' Director Joe Russo Takes Jab At Martin Scorsese Touting Marvel Films' Box Office Success","Joe Russo, the Avengers: Endgame co-director, is playfully taking a job at Martin Scorsese after the director Killers of the Flower Moon director took a dig at Marvel films. In a recent interview, Scorsese weighed in on the transformation at the box office fo…",https://deadline.com/2023/10/avengers-endgame-director-joe-russo-takes-jab-martin-scorsese-box-office-success-1235587771/,https://deadline.com/wp-content/uploads/2023/10/joe-russo-martin-scorsese.jpg?w=1024,2023-10-30T23:54:50Z,"Joe Russo, the Avengers: Endgame co-director, is playfully taking a job at Martin Scorsese after the director Killers of the FlowerMoon director took a dig at Marvel films.
In a recent interview, Sc… [+1292 chars]",,Deadline,5,
Andy Meek,Scorsese's Apple movie Killers of the Flower Moon is bombing so hard at the box office,"Somehow, one of the greatest film directors of all time has managed to turn his latest highly anticipated movie release into an embarrassing box office …
The post Scorsese's Apple movie Killers of the Flower Moon is bombing so hard at the box office appeared …",https://bgr.com/entertainment/scorseses-apple-movie-killers-of-the-flower-moon-is-bombing-so-hard-at-the-box-office/,https://bgr.com/wp-content/uploads/2023/05/rsz_051823_killers_flower_moon_teaser_trailer_big_image_02.jpg?quality=82&strip=all,2023-10-30T23:29:00Z,"Somehow, one of the greatest film directors of all time has managed to turn his latest highly anticipated movie release into an embarrassing box office bomb, never mind that it was backed by the migh… [+3779 chars]",,BGR,5,
"Josh Dickey, Sharon Knolle",Robert De Niro Gets Testy in Civil Court as Ex-Assistant's Discrimination Lawsuit Goes to Trial,"The ""Killers of the Flower Moon"" star dismisses her charges as ""nonsense,"" takes offense at lawyer's line of questioning
The post Robert De Niro Gets Testy in Civil Court as Ex-Assistant's Discrimination Lawsuit Goes to Trial appeared first on TheWrap.",http://www.thewrap.com/robert-de-niro-discrimination-lawsuit-testimony/,https://www.thewrap.com/wp-content/uploads/2023/10/De-Niro.jpg,2023-10-30T23:01:22Z,"Robert De Niro took the stand Monday in a New York civil courtroom to testify in his own defense against a former executive assistant who is suing the Taxi Driver actor for gender discrimination, har… [+2612 chars]",,TheWrap,9,
Maya Alexander,Martin Scorsese releases a list of 59 must-watch movies — plus his own,Martin Scorsese is on Letterboxd as of Oct. 26. Here's why his joining the platform is such a big deal for movie buffs.,https://www.today.com/popculture/movies/martin-scorsese-letterboxd-movie-list-rcna122851,"https://media-cldnry.s-nbcnews.com/image/upload/t_social_share_1200x630_center,f_auto,q_auto:best/rockcms/2023-10/martin-scorsese-zz-231030-365e4e.jpg",2023-10-30T21:16:26Z,"Movie lovers, rejoice: Acclaimed director Martin Scorsese is on Letterboxd as of Oct. 26.
Developed as a way for film lovers to post movie reviews, Letterboxd has evolved into a social media subcult… [+2878 chars]",,TODAY,9,
forbes.com,"""Killers Of The Flower Moon' Is Sadly Another 2023 Big-Budget Flop","Opening to just $44 million worldwide, Martin Scorsese's latest big-budget drama Killers of the Flower Moon will almost certainly fail to make back its enormous $200 million budget and millions more in marketing expenses at the box office, sadly becoming yet …",https://biztoc.com/x/34c8922df3caef80,https://c.biztoc.com/p/34c8922df3caef80/s.webp,2023-10-30T20:46:07Z,"Opening to just $44 million worldwide, Martin Scorseses latest big-budget drama Killers of the Flower Moon will almost certainly fail to make back its enormous $200 million budget and millions more i… [+322 chars]",,Biztoc.com,5,
Mawunyo Gbogbo,'It's about choice': Cinema CEO blasts studios over no interval for Killers of the Flower Moon,"Studios have cracked down on a handful of overseas cinemas for running Killers of the Flower Moon with an interval, but the head of two dozen cinemas in Australia says customers should be given a choice.",https://www.abc.net.au/news/2023-10-31/killers-of-the-flower-moon-intermission-interval-cinema-duration/103042006,https://live-production.wcms.abc-cdn.net.au/777bb7e1953efe311eb1ced0207be7fa?impolicy=wcms_crop_resize&cropH=1688&cropW=3000&xPos=0&yPos=156&width=862&height=485,2023-10-30T20:05:11Z,"In order to run a film with an intermission, cinemas must get permission from the studios behind the movie.
That hasn't stopped a small number of movie theatres from showing Martin Scorsese's 206-mi… [+5596 chars]",abc-news-au,ABC News (AU),7,
Anthony Nash,Joe Russo's Martin Scorsese Joke Riles Up Film Industry,"A recent video from director Joe Russo has drawn the ire of the film industry after the filmmaker took some playful jabs at legendary director Martin Scorsese. This past week, a TikTok video from Scorsese's daughter Francesca showed the iconic director talkin…",https://www.comingsoon.net/movies/news/1383165-joe-russos-martin-scorsese-joke-riles-up-film-industry,"https://www.comingsoon.net/wp-content/uploads/sites/3/2023/10/joe-russo-header.jpg?resize=1200,630",2023-10-30T20:03:33Z,"A recent video from director Joe Russo has drawn the ire of the film industry after the filmmaker took some playful jabs at legendary director Martin Scorsese. 
This past week, a TikTok video from S… [+1443 chars]",,ComingSoon.net,9,
Emma Keates,Blumhouse's Five Nights At Freddy's gambit paid off,"Five Nights At Freddy's made a frightfully good showing at last weekend's box office, pulling in $78 million—enough to unseat both Taylor Swift: The Eras Tour and Killers Of The Flower Moon. This massive (and somewhat unexpected) success was enough to log the…",https://www.avclub.com/blumhouses-five-nights-at-freddys-gambit-paid-off-1850973611,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/97ffde489d89259dd100c8cf8ffc0fe9.jpg",2023-10-30T19:20:33Z,"Five Nights At Freddysmade a frightfully good showing at last weekends box office, pulling in $78 millionenough to unseat both Taylor Swift: The Eras Tour and Killers Of The Flower Moon. This massive… [+2043 chars]",,The A.V. Club,8,
Mary Kate Carr,Joe Russo is definitely not mad at Martin Scorsese,"There is no opting out of Martin Scorsese vs. The Marvel Cinematic Universe: every time the conversation seems to have subsided, the debate flares up again with some new provocation. That's partially because interviewers can't stop asking the director to reit…",https://www.avclub.com/joe-russo-joke-martin-scorsese-dog-tiktok-1850973509,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/5c12870480367208eb02390c308d8de1.jpg",2023-10-30T18:41:19Z,"There is no opting out of Martin Scorsese vs. The Marvel Cinematic Universe: every time the conversation seems to have subsided, the debate flares up again with some new provocation. Thats partially … [+3150 chars]",,The A.V. Club,6,
Robert DeSalvo,"Some Theaters Add Intermission to ""Killers of the Flower Moon' Against Studios' Wishes",Apple and Paramount are cracking down on some theaters adding an intermission to Martin Scorsese's Killers of the Flower Moon. The director did not include ... Read More,https://wealthofgeeks.com/some-theaters-add-intermission-to-killers-of-the-flower-moon-against-studios-wishes/,https://wealthofgeeks.com/wp-content/uploads/2023/10/Killers-of-the-Flower-Moon-e1698689410671.png,2023-10-30T18:40:32Z,Apple and Paramount are cracking down on some theaters adding an intermission to Martin Scorsese's Killers of the Flower Moon. The director did not include an intermission in his 206-minute epic sitt… [+2779 chars],,Wealthofgeeks.com,7,
EverOut Staff,"The Top 43 Events in Portland This Week: Oct 30-Nov 5, 2023","Portland Book Festival, Phoebe Robinson, and More Top Picks
 
 by EverOut Staff
 
 
 
 Something wicked this way comes...we've compiled a spellbinding slate of the week's top events, from the Portland Book Festival to Phoebe Robinson and from Faye Webster to …",https://everout.com/portland/articles/the-top-43-events-in-portland-this-week-oct-30-nov-5-2023/c5199/,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTY5ODY0ODQ5Njg0NjgyNS1QQkYyMi5qcGciLCAiZWRpdHMiOiB7InJlc2l6ZSI6IHsiZml0IjogImluc2lkZSIsICJwb3NpdGlvbiI6ICJjZW50cmUiLCAid2lkdGgiOiAxMjAwLCAiaGVpZ2h0IjogNjMwfX19,2023-10-30T18:39:00Z,"Jump to: Monday | Tuesday | Wednesday | Thursday | Friday | Saturday | Sunday | Multi-Day
FILM
Twin Peaks MondaysRemindLikeListHosted by ""trans femme drag enigma"" Violet Hex, this weekly series scr… [+31260 chars]",,Everout.com,6,
Kelby Vera,"Robert De Niro, Ex-Assistant's Bitter Gender Discrimination Battle Goes To Trial","De Niro and his former employee have been lobbing accusations back and forth since 2019, but celebrity lawsuits like this rarely end up in front of a jury.",https://www.huffpost.com/entry/robert-de-niro-ex-assistant-gender-discrimination-lawsuit_n_653fcc21e4b0ae2dc0b48d74,https://img.huffingtonpost.com/asset/653fe977220000320018d53f.jpeg?cache=qbdMELVgW9&ops=1200_630,2023-10-30T18:29:38Z,"Robert De Niros legal dispute with former assistant Graham Chase Robinson began playing out in federal court on Monday, putting accusations of sexism, theft and personal jealousy on trial for all to … [+2022 chars]",,HuffPost,2,
p0uritup,"Marvel director Joe Russo Makes Fun of Scorsese and ""Killers of the Flower Moon' Box-Office","""Avengers: Endgame' director Joe Russo via TikTok pic.twitter.com/ZEchOD2FSU
— Film Updates (@FilmUpdates) October 30, 2023 The man behind Avengers: Endgame - which is the second highest grossing film of all time, threw some shade at Marvel critic Martin Sco…",https://ohnotheydidnt.livejournal.com/127134797.html,https://l-files.livejournal.net/og_image/3616053/496620?v=1698690076,2023-10-30T18:21:14Z,"Avengers: Endgame director Joe Russo via TikTok pic.twitter.com/ZEchOD2FSU
— Film Updates (@FilmUpdates) October 30, 2023
The man behind Avengers: Endgame which is the second highest grossing film … [+747 chars]",,Livejournal.com,9,
Sean Piccoli,Robert De Niro Discrimination Trial Picks Jury; Actor To Testify After Opening Statements,"Opening arguments in a workplace civil case pitting actor Robert De Niro against his former executive assistant, Graham Chase Robinson, will begin this afternoon in a federal courtroom in Manhattan, with De Niro himself expected to testify today under direct …",https://deadline.com/2023/10/robert-de-niro-defamation-trial-1235587047/,https://deadline.com/wp-content/uploads/2023/10/GettyImages-1753978748.jpg?w=1024,2023-10-30T18:16:01Z,"Opening arguments in a workplace civil case pitting actor Robert De Niro against his former executive assistant, Graham Chase Robinson, will begin this afternoon in a federal courtroom in Manhattan, … [+4257 chars]",,Deadline,9,
Mathew Plale,Joe Russo claps back at Martin Scorsese's hatred of comic book movies,"Joe Russo has fired back at Martin Scorsese over the director's scorn for comic book movies by boasting about box office numbers.
The post Joe Russo claps back at Martin Scorsese's hatred of comic book movies appeared first on JoBlo.",https://www.joblo.com/joe-russo-claps-back-at-martin-scorseses-hatred-of-comic-book-movies/,https://www.joblo.com/wp-content/uploads/2023/10/Scorsese-Russo.jpg,2023-10-30T17:13:16Z,Joe Russo has fired back at Martin Scorsese over the director's scorn for comic book movies by boasting about box office numbers.Martin Scorsese has been on a tear against comic book movies for quite… [+1907 chars],,JoBlo.com,9,
Associated Press,"""Five Nights at Freddy's' dominates Halloween weekend with $78 million debut in North America","The simultaneous release of ""Five Nights at Freddy's"" in theaters and on streaming had little impact on the film's success on the big screen Halloween weekend.",https://www.foxnews.com/entertainment/five-nights-at-freddys-dominates-halloween-weekend-78-million-debut-north-america,https://static.foxnews.com/foxnews.com/content/uploads/2023/10/Five-Nights-At-Freddys.jpg,2023-10-30T17:08:51Z,"It hardly mattered that ""Five Nights at Freddys"" was released simultaneously in theaters and on streaming this weekend. Fans flocked to movie theaters across the country to see the scary video game a… [+6198 chars]",fox-news,Fox News,8,
EverOut Staff,"The Top 54 Events in Seattle This Week: Oct 30-Nov 5, 2023","Burna Boy, Seattle Catrinas Festival, and More Top Picks
 
 by EverOut Staff
 
 
 
 Something wicked this way comes...we've compiled a spellbinding slate of the week's top events, from Burna Boy to Freakout Festival, from Hadestown to Phoebe Robinson and from…",https://everout.com/seattle/articles/the-top-54-events-in-seattle-this-week-oct-30-nov-5-2023/c5198/,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTY5ODY0Mjg3NDMyMjI2My1jYXRyaW5hc2Zlc3RpdmFsLmpwZWciLCAiZWRpdHMiOiB7InJlc2l6ZSI6IHsiZml0IjogImluc2lkZSIsICJwb3NpdGlvbiI6ICJjZW50cmUiLCAid2lkdGgiOiAxMjAwLCAiaGVpZ2h0IjogNjMwfX19,2023-10-30T17:00:00Z,"Jump to: Monday | Tuesday | Wednesday | Thursday | Friday | Saturday | Sunday | Multi-Day
LIVE MUSIC
Girl RayRemindLikeListOn their third album, Prestige, London-based trio Girl Ray evokes an early… [+38370 chars]",,Everout.com,6,
The Morning News LLC; www.themorningnews.org,"Monday Headlines: If I had the chance, I'd ask the world to dance","The United Auto Workers have now reached a tentative deal with GM, effectively ending a 40-day strike against the big three Detroit automakers.&nbsp;/&nbsp;Reuters Shouting antisemitic slogans, a mob storms a&#8230;",https://themorningnews.org/post/monday-headlines-if-i-had-the-chance-id-ask-the-world-to-dance,https://themorningnews.org/images/tmn-logo-share.png,2023-10-30T16:43:00Z,"The United Auto Workers have now reached a tentative deal with GM, effectively ending a 40-day strike against the big three Detroit automakers. / Reuters
Shouting antisemitic slogans, a mob storms a… [+1665 chars]",,Themorningnews.org,6,
Charles Barfield,Sofia Coppola's Apple TV+ Series Was Passed On Because An Unlikable Female Lead “Wasn't Their Thing”,"Announced way back in May 2020 (wow, that seems like a lifetime ago, doesn't it?), Sofia Coppola's “The Custom of the Country” was expected to be the filmmaker's next big project with Apple, after her film, “On the Rocks.” Unfortunately, as the years have pas…",https://theplaylist.net/sofia-coppolas-apple-tv-series-was-passed-on-because-an-unlikable-female-lead-wasnt-their-thing-20231030/,https://cdn.theplaylist.net/wp-content/uploads/2021/01/14182107/sofia-coppola-apple.jpg,2023-10-30T16:31:56Z,"Announced way back in May 2020 (wow, that seems like a lifetime ago, doesnt it?), Sofia CoppolasThe Custom of the Country was expected to be the filmmakers next big project with Apple, after her film… [+3228 chars]",,Theplaylist.net,8,
"John Nolte, John Nolte","Nolte: Robert De Niro's ""Killers of the Flower Moon' DOA at Box Office",Oscar-winning director Martin Scorsese's Killers of the Flower Moon is dead on arrival after its second-weekend box office collapsed to just $9 million.,https://www.breitbart.com/entertainment/2023/10/30/nolte-robert-de-niros-killers-of-the-flower-moon-doa-at-box-office/,https://media.breitbart.com/media/2023/09/Killers-of-the-Flower-Moon-640x335.jpg,2023-10-30T15:58:52Z,"Oscar-winning director Martin Scorsese's Killers of the Flower Moon is dead on arrival after its second-weekend box office collapsed to just $9 million.
Apple Studios dropped a reported $200 million… [+3624 chars]",breitbart-news,Breitbart News,5,
